Price,Promotion,SeasonFactor,Sales
218.5431,0,1.0,1839.6077
477.8214,1,0.8,1065.4057
379.3973,1,0.8,1447.5466
319.3963,1,1.0,1899.8458
120.2084,0,1.2,2588.6378
120.1975,1,1.2,3111.3594
76.1376,1,1.0,3143.8722
439.7793,0,1.2,1013.6571
320.5018,0,1.2,1792.1484
368.6327,0,1.2,1312.9162
59.263,0,1.0,2721.1238
486.4594,1,0.8,871.5022
424.5992,0,0.8,770.9319
145.5526,1,0.8,2502.9146
131.8212,0,0.8,2104.2124
132.532,0,0.8,1986.1746
186.909,1,1.2,2864.1565
286.1404,1,1.2,2117.0083
244.3753,1,1.2,2532.0791
181.0531,0,1.0,2262.8441
325.3338,0,1.2,1765.9045
112.7722,1,0.8,2705.5422
181.4651,1,1.2,2758.0867
214.8628,0,0.8,1718.2741
255.2315,1,1.2,2513.9164
403.3292,1,0.8,1270.1444
139.8532,0,1.2,2473.3602
281.4055,1,0.8,2000.2431
316.5866,0,0.8,1221.4345
70.9027,0,1.0,2630.1776
323.3952,0,1.2,1495.4108
126.7359,1,0.8,2769.0235
79.2732,1,1.2,3328.3418
476.9985,1,0.8,913.8352
484.5344,1,1.0,891.1305
413.7788,0,1.0,1026.5558
187.0762,0,1.0,1951.1942
93.9525,1,1.0,3075.4294
357.9049,1,0.8,1432.6221
248.0686,1,1.2,2352.3471
104.9172,1,1.0,3068.2291
272.8296,0,1.0,1646.0178
65.4748,1,1.0,3176.73
459.1942,0,1.2,1099.0799
166.451,1,0.8,2661.2486
348.135,1,0.8,1534.6296
190.27,1,0.8,2217.9354
284.0306,0,0.8,1521.2282
296.0196,1,1.2,2085.4411
133.1845,0,1.2,2581.5974
486.3131,0,1.2,741.6453
398.8098,1,1.0,1513.5509
472.7745,0,1.2,958.7567
452.6723,0,0.8,457.9541
319.055,0,1.2,1543.9089
464.8434,1,1.0,1251.5882
89.8216,0,0.8,2529.7738
138.1923,0,1.2,2756.4559
70.3523,1,0.8,2803.1574
196.3986,1,0.8,2276.0459
224.9048,0,1.2,1972.3217
172.1071,0,1.2,2424.1197
422.9319,0,1.0,891.4272
210.539,0,1.2,2235.0837
176.4205,1,1.2,2778.3861
294.2132,1,1.2,2298.8868
113.4159,0,0.8,2215.0265
410.9886,1,1.0,1459.28
83.5478,0,0.8,2324.6369
494.0991,1,1.2,1365.5089
397.5101,1,1.0,1386.1778
139.4221,0,1.2,2491.5165
52.485,0,0.8,2715.6634
416.9576,0,0.8,842.8102
368.0858,0,1.2,1275.2492
378.0532,1,1.0,1530.4977
397.0717,1,0.8,1366.049
83.3201,0,1.2,2848.3929
211.3096,1,1.2,2762.4424
102.1411,1,1.2,3048.3685
438.3965,0,1.0,939.5968
330.4842,0,1.2,1457.436
198.9041,1,1.2,2838.9469
78.6013,0,0.8,2245.4512
189.942,0,1.2,2138.8946
196.3325,1,1.0,2690.439
378.3228,1,1.2,1985.9898
336.9009,0,1.0,1325.529
449.2457,1,1.2,1420.8426
262.4967,0,1.2,1885.9111
103.8174,0,1.2,2722.3858
370.9602,1,1.0,1695.6801
392.3533,1,0.8,1308.7602
302.5747,0,1.0,1293.5792
396.9352,0,0.8,760.9536
272.208,0,1.0,1483.4597
285.2298,1,1.2,2350.4321
242.3935,0,1.2,2024.9219
61.4386,1,0.8,2981.6821
98.5511,0,0.8,2282.1678
64.1431,1,1.0,3375.8949
336.3847,0,1.0,1432.7159
191.4602,1,0.8,2363.2311
278.8568,0,0.8,1351.9111
458.4049,0,1.0,836.9752
162.1815,0,0.8,2000.1425
234.6723,0,0.8,1561.8056
389.998,1,0.8,1290.9514
152.9592,1,0.8,2601.3902
84.641,1,1.2,3372.027
180.3882,1,1.2,2861.619
122.5496,1,0.8,2753.0077
468.3639,0,1.0,627.7534
413.6542,1,1.2,1577.3108
335.0317,1,1.0,1839.6996
442.1573,1,1.0,1281.011
411.6524,1,1.2,1541.6587
133.9565,0,1.0,2326.9925
451.6515,0,1.0,810.7392
292.704,0,0.8,1297.4416
413.3481,0,0.8,891.9847
453.2411,1,0.8,908.6129
193.1016,1,1.2,2652.0767
99.5234,0,0.8,2245.1044
152.5708,0,1.0,2319.395
242.1985,1,1.0,2310.2456
418.1066,1,1.0,1320.8616
437.3288,0,1.0,626.1289
53.1285,0,1.0,2615.6832
279.8363,0,1.2,1625.4903
237.835,0,1.0,1898.1726
149.9485,1,1.2,2844.3492
103.9394,1,1.0,3048.3593
201.9268,1,1.2,2744.7463
474.3094,0,1.2,947.6118
195.4413,1,1.0,2451.3278
283.4558,1,1.0,2123.1936
366.3585,0,1.0,1180.3758
213.6333,0,1.0,1944.2802
487.3019,0,0.8,361.5889
483.1013,0,0.8,468.685
163.302,0,1.2,2456.7465
273.7618,0,1.2,1830.939
185.3952,1,0.8,2327.0842
178.1782,1,1.2,2751.6722
66.5991,1,1.0,3170.5473
324.304,1,1.2,2100.6623
276.2056,1,1.2,2309.8259
73.1654,1,1.2,3204.9934
175.3909,0,0.8,1892.5796
458.7196,0,0.8,453.6939
157.8029,0,1.2,2412.4934
115.2027,1,1.0,3177.6023
270.2537,1,1.2,2391.7469
493.5427,0,0.8,458.5106
158.9249,0,1.0,2136.9671
352.461,0,1.2,1439.8837
392.7288,0,0.8,959.2236
156.9369,0,1.0,2057.2713
377.6974,1,1.2,1788.1715
215.5024,1,0.8,2284.5535
334.5376,1,1.0,1820.0538
335.0884,0,1.2,1467.7687
291.0986,1,1.0,1993.3348
90.6304,0,1.0,2578.3876
425.8861,1,1.0,1213.5207
194.351,0,0.8,1840.7078
133.9333,0,1.2,2602.9189
68.3488,1,1.0,3122.0428
315.9018,1,1.0,1764.4932
354.904,1,1.0,1674.2763
57.4645,1,0.8,3000.3009
280.4419,1,1.0,1990.1373
151.9231,0,0.8,2043.4477
340.3278,1,0.8,1615.5657
128.4649,1,1.0,2977.9342
360.922,0,1.0,1178.8976
224.0309,1,0.8,2191.0179
471.5285,0,0.8,387.2624
111.8844,1,1.0,2892.8606
203.4799,1,0.8,2353.0194
101.0631,0,0.8,2271.2349
466.1121,1,1.0,1252.0997
444.8027,1,1.0,1271.3076
166.0737,1,1.2,2755.2482
346.9928,1,1.0,1695.7458
417.75,0,1.0,1153.089
299.8404,0,1.0,1490.7518
288.3428,1,1.2,2096.7531
158.8335,1,0.8,2392.0016
91.8962,0,1.0,2469.2334
453.7471,0,1.0,641.936
455.1881,1,1.2,1314.1388
334.8957,0,1.2,1671.7581
202.5634,0,1.2,2253.6493
207.1443,0,0.8,1744.2963
376.6801,0,1.2,1257.8726
453.6996,1,0.8,1015.3325
449.1889,0,1.0,932.1329
400.944,1,1.0,1408.7762
338.9142,1,1.0,1647.7125
87.863,0,1.2,2827.4203
122.7329,1,1.0,2987.1489
454.3494,1,1.2,1573.4164
322.8931,0,0.8,1150.3007
54.1387,0,1.0,2695.1185
95.6622,0,0.8,2522.9171
348.5758,1,1.2,2016.671
